publication_number,grant_year,high_impact,dataset_split
US-10885363-B2,2021,0,Train
US-10885365-B2,2021,0,Train
US-10885370-B2,2021,0,Train
US-10885372-B2,2021,1,Train
US-10885377-B2,2021,0,Train
US-10885381-B2,2021,1,Train
US-10885383-B2,2021,0,Train
US-10885385-B2,2021,1,Train
US-10885386-B1,2021,1,Train
US-10885387-B1,2021,1,Train
US-10885388-B1,2021,1,Train
US-10885389-B2,2021,0,Train
US-10885390-B2,2021,0,Train
US-10885393-B1,2021,1,Train
US-10885394-B2,2021,0,Train
US-10885395-B2,2021,0,Train
US-10885397-B2,2021,0,Train
US-10885398-B2,2021,0,Train
US-10885400-B2,2021,1,Train
US-10885401-B2,2021,0,Train
US-10885423-B1,2021,1,Train
US-10885424-B2,2021,0,Train
US-10885425-B2,2021,1,Train
US-10885426-B2,2021,0,Train
US-10885427-B2,2021,0,Train
US-10885428-B2,2021,0,Train
US-10885429-B2,2021,0,Train
US-10885430-B2,2021,0,Train
US-10885431-B2,2021,0,Train
US-10885432-B1,2021,1,Train
US-10885433-B2,2021,1,Train
US-10885434-B2,2021,0,Train
US-10885435-B2,2021,0,Train
US-10885436-B1,2021,1,Train
US-10885437-B2,2021,0,Train
US-10885438-B2,2021,0,Train
US-10885439-B1,2021,0,Train
US-10885440-B2,2021,0,Train
US-10885441-B2,2021,0,Train
US-10885442-B2,2021,0,Train
US-10885443-B2,2021,0,Train
US-10885444-B2,2021,0,Train
US-10885445-B2,2021,0,Train
US-10885446-B2,2021,0,Train
US-10885447-B2,2021,0,Train
US-10885448-B2,2021,0,Train
US-10885449-B2,2021,0,Train
US-10885450-B1,2021,1,Train
US-10885451-B2,2021,0,Train
US-10885452-B1,2021,1,Train
US-10885453-B2,2021,0,Train
US-10885454-B2,2021,0,Train
US-10885455-B2,2021,0,Train
US-10885456-B2,2021,0,Train
US-10885457-B2,2021,0,Train
US-10885458-B2,2021,0,Train
US-10885459-B2,2021,0,Train
US-10885460-B2,2021,0,Train
US-10885461-B2,2021,1,Train
US-10885462-B2,2021,0,Train
US-10885463-B2,2021,1,Train
US-10885464-B1,2021,0,Train
US-10885465-B2,2021,0,Train
US-10885466-B2,2021,0,Train
US-10885467-B2,2021,0,Train
US-10885468-B2,2021,0,Train
US-10885469-B2,2021,0,Train
US-10885470-B2,2021,0,Train
US-10885477-B2,2021,0,Train
US-10885482-B2,2021,0,Train
US-10885530-B2,2021,1,Train
US-10885536-B2,2021,0,Train
US-10885558-B2,2021,0,Train
US-10885586-B2,2021,0,Train
US-10885593-B2,2021,0,Train
US-10885618-B2,2021,0,Train
US-10885620-B2,2021,0,Train
US-10885625-B2,2021,0,Train
US-10885627-B2,2021,0,Train
US-10885628-B2,2021,0,Train
US-10885635-B2,2021,0,Train
US-10885653-B2,2021,0,Train
US-10885659-B2,2021,0,Train
US-10885660-B2,2021,0,Train
US-10885674-B1,2021,0,Train
US-10885678-B2,2021,1,Train
US-10885684-B2,2021,0,Train
US-10885698-B2,2021,1,Train
US-10885707-B1,2021,1,Train
US-10885708-B2,2021,1,Train
US-10885775-B2,2021,0,Train
US-10885787-B2,2021,0,Train
US-10885877-B2,2021,0,Train
US-10885900-B2,2021,1,Train
US-10885901-B2,2021,0,Train
US-10885905-B2,2021,1,Train
US-10885906-B2,2021,1,Train
US-10885930-B2,2021,0,Train
US-10885951-B2,2021,0,Train
US-10885960-B2,2021,0,Train
US-10885963-B2,2021,0,Train
US-10886013-B1,2021,1,Train
US-10886015-B2,2021,1,Train
US-10886030-B2,2021,0,Train
US-10886049-B2,2021,1,Train
US-10886110-B2,2021,0,Train
US-10886281-B2,2021,0,Train
US-10886454-B2,2021,0,Train
US-10886459-B2,2021,0,Train
US-10886586-B2,2021,0,Train
US-10886676-B2,2021,0,Train
US-10886736-B2,2021,0,Train
US-10886943-B2,2021,1,Train
US-10886998-B2,2021,1,Train
US-10887009-B2,2021,0,Train
US-10887093-B2,2021,1,Train
US-10887182-B1,2021,1,Train
US-10887187-B2,2021,0,Train
US-10887188-B2,2021,0,Train
US-10887197-B2,2021,1,Train
US-10887267-B2,2021,0,Train
US-10887268-B2,2021,0,Train
US-10887317-B2,2021,0,Train
US-10887324-B2,2021,0,Train
US-10887325-B1,2021,1,Train
US-10887329-B2,2021,0,Train
US-10887336-B2,2021,0,Train
US-10887344-B2,2021,0,Train
US-10887349-B2,2021,0,Train
US-10887406-B2,2021,0,Train
US-10887433-B2,2021,1,Train
US-10887454-B2,2021,0,Train
US-10887464-B2,2021,0,Train
US-10887486-B2,2021,0,Train
US-10887507-B2,2021,1,Train
US-10887537-B1,2021,0,Train
US-10887582-B2,2021,0,Train
US-10887602-B2,2021,0,Train
US-10887607-B2,2021,0,Train
US-10887613-B2,2021,0,Train
US-10887640-B2,2021,1,Train
US-10887781-B2,2021,1,Train
US-10887786-B2,2021,0,Train
US-10887796-B2,2021,0,Train
US-10887808-B1,2021,1,Train
US-10887862-B2,2021,0,Train
US-10888016-B2,2021,1,Train
US-10888085-B1,2021,1,Train
US-10888242-B2,2021,0,Train
US-10888282-B2,2021,0,Train
US-10888380-B2,2021,0,Train
US-10888399-B2,2021,1,Train
US-10888711-B2,2021,1,Train
US-10888735-B2,2021,0,Train
US-10888777-B2,2021,0,Train
US-10888785-B2,2021,0,Train
US-10889002-B2,2021,0,Train
US-10890460-B2,2021,0,Train
US-10890507-B2,2021,0,Train
US-10890890-B2,2021,0,Train
US-10890898-B2,2021,1,Train
US-10890916-B2,2021,0,Train
US-10890968-B2,2021,1,Train
US-10890969-B2,2021,1,Train
US-10890970-B2,2021,1,Train
US-10891108-B2,2021,0,Train
US-10891109-B2,2021,0,Train
US-10891112-B2,2021,0,Train
US-10891126-B2,2021,0,Train
US-10891134-B2,2021,0,Train
US-10891136-B1,2021,1,Train
US-10891148-B2,2021,0,Train
US-10891151-B2,2021,0,Train
US-10891156-B1,2021,1,Train
US-10891161-B2,2021,0,Train
US-10891181-B2,2021,0,Train
US-10891203-B2,2021,0,Train
US-10891218-B2,2021,0,Train
US-10891219-B1,2021,1,Train
US-10891251-B2,2021,0,Train
US-10891269-B2,2021,0,Train
US-10891275-B2,2021,0,Train
US-10891295-B2,2021,0,Train
US-10891297-B2,2021,1,Train
US-10891311-B2,2021,0,Train
US-10891316-B2,2021,0,Train
US-10891321-B2,2021,0,Train
US-10891327-B1,2021,0,Train
US-10891334-B2,2021,0,Train
US-10891336-B2,2021,0,Train
US-10891352-B1,2021,1,Train
US-10891353-B2,2021,0,Train
US-10891354-B2,2021,0,Train
US-10891360-B2,2021,0,Train
US-10891373-B2,2021,0,Train
US-10891374-B1,2021,1,Train
US-10891406-B2,2021,0,Train
US-10891427-B2,2021,1,Train
US-10891431-B2,2021,0,Train
US-10891437-B2,2021,0,Train
US-10891438-B2,2021,0,Train
US-10891440-B1,2021,0,Train
US-10891441-B2,2021,0,Train
US-10891445-B2,2021,1,Train
US-10891467-B2,2021,0,Train
US-10891468-B2,2021,1,Train
US-10891469-B2,2021,0,Train
US-10891476-B2,2021,1,Train
US-10891478-B2,2021,0,Train
US-10891481-B2,2021,0,Train
US-10891485-B2,2021,0,Train
US-10891488-B2,2021,1,Train
US-10891509-B2,2021,1,Train
US-10891510-B2,2021,0,Train
US-10891511-B1,2021,0,Train
US-10891514-B2,2021,0,Train
US-10891515-B2,2021,0,Train
US-10891516-B2,2021,0,Train
US-10891517-B2,2021,0,Train
US-10891518-B1,2021,1,Train
US-10891521-B2,2021,0,Train
US-10891522-B2,2021,0,Train
US-10891523-B2,2021,0,Train
US-10891524-B2,2021,0,Train
US-10891525-B1,2021,1,Train
US-10891527-B2,2021,0,Train
US-10891534-B2,2021,0,Train
US-10891535-B1,2021,1,Train
US-10891536-B1,2021,1,Train
US-10891537-B2,2021,1,Train
US-10891538-B2,2021,1,Train
US-10891539-B1,2021,1,Train
US-10891540-B2,2021,0,Train
US-10891541-B2,2021,0,Train
US-10891542-B2,2021,0,Train
US-10891543-B2,2021,0,Train
US-10891544-B2,2021,0,Train
US-10891545-B2,2021,0,Train
US-10891546-B2,2021,0,Train
US-10891547-B2,2021,0,Train
US-10891548-B2,2021,0,Train
US-10891549-B2,2021,0,Train
US-10891550-B2,2021,1,Train
US-10891551-B2,2021,0,Train
US-10891552-B1,2021,1,Train
US-10891553-B2,2021,0,Train
US-10891554-B2,2021,0,Train
US-10891555-B2,2021,1,Train
US-10891557-B2,2021,0,Train
US-10891558-B2,2021,1,Train
US-10891559-B2,2021,0,Train
US-10891560-B2,2021,1,Train
US-10891561-B2,2021,0,Train
US-10891571-B2,2021,0,Train
US-10891578-B2,2021,0,Train
US-10891585-B2,2021,0,Train
US-10891587-B2,2021,1,Train
US-10891593-B2,2021,0,Train
US-10891627-B2,2021,0,Train
US-10891628-B1,2021,1,Train
US-10891631-B2,2021,0,Train
US-10891655-B1,2021,0,Train
US-10891663-B2,2021,0,Train
US-10891673-B1,2021,1,Train
US-10891677-B2,2021,1,Train
US-10891685-B2,2021,1,Train
US-10891694-B1,2021,1,Train
US-10891707-B2,2021,0,Train
US-10891723-B1,2021,1,Train
US-10891731-B2,2021,1,Train
US-10891735-B2,2021,1,Train
US-10891758-B2,2021,0,Train
US-10891765-B2,2021,0,Train
US-10891789-B2,2021,0,Train
US-10891799-B2,2021,0,Train
US-10891813-B2,2021,0,Train
US-10891843-B2,2021,0,Train
US-10891849-B1,2021,0,Train
US-10891928-B2,2021,0,Train
US-10891942-B2,2021,0,Train
US-10891943-B2,2021,0,Train
US-10891949-B2,2021,0,Train
US-10891951-B2,2021,1,Train
US-10891956-B2,2021,1,Train
US-10891985-B1,2021,0,Train
US-10891991-B2,2021,0,Train
US-10892009-B2,2021,0,Train
US-10892011-B2,2021,1,Train
US-10892034-B2,2021,0,Train
US-10892038-B2,2021,0,Train
US-10892050-B2,2021,1,Train
US-10892055-B2,2021,0,Train
US-10892057-B2,2021,0,Train
US-10892330-B2,2021,0,Train
US-10892398-B2,2021,0,Train
US-10892703-B2,2021,0,Train
US-10892725-B1,2021,0,Train
US-10892761-B1,2021,1,Train
US-10892806-B2,2021,1,Train
US-10892810-B2,2021,1,Train
US-10892847-B2,2021,0,Train
US-10892953-B2,2021,0,Train
US-10892954-B2,2021,0,Train
US-10893010-B1,2021,1,Train
US-10893064-B2,2021,0,Train
US-10893070-B2,2021,1,Train
US-10893071-B2,2021,1,Train
US-10893107-B1,2021,1,Train
US-10893115-B2,2021,0,Train
US-10893117-B2,2021,0,Train
US-10893120-B2,2021,0,Train
US-10893141-B2,2021,0,Train
US-10893236-B2,2021,1,Train
US-10893252-B2,2021,0,Train
US-10893296-B2,2021,0,Train
US-10893302-B1,2021,0,Train
US-10893391-B1,2021,0,Train
US-10893424-B1,2021,1,Train
US-10893466-B2,2021,1,Train
US-10893495-B2,2021,0,Train
US-10894215-B1,2021,1,Train
US-10894545-B2,2021,0,Train
US-10895539-B2,2021,0,Train
US-10895556-B2,2021,0,Train
US-10895560-B2,2021,0,Train
US-10895622-B2,2021,0,Train
US-10895852-B2,2021,0,Train
US-10895853-B2,2021,1,Train
US-10895918-B2,2021,0,Train
US-10896020-B2,2021,0,Train
US-10896021-B2,2021,0,Train
US-10896026-B2,2021,0,Train
US-10896031-B2,2021,0,Train
US-10896034-B2,2021,0,Train
US-10896036-B2,2021,0,Train
US-10896038-B2,2021,0,Train
US-10896039-B2,2021,1,Train
US-10896045-B2,2021,0,Train
US-10896048-B1,2021,1,Train
US-10896049-B2,2021,0,Train
US-10896052-B2,2021,0,Train
US-10896060-B1,2021,1,Train
US-10896072-B2,2021,0,Train
US-10896080-B2,2021,0,Train
US-10896108-B2,2021,0,Train
US-10896114-B2,2021,1,Train
US-10896126-B2,2021,0,Train
US-10896131-B2,2021,0,Train
US-10896176-B1,2021,1,Train
US-10896183-B2,2021,0,Train
US-10896185-B1,2021,1,Train
US-10896188-B2,2021,0,Train
US-10896202-B2,2021,0,Train
US-10896214-B2,2021,0,Train
US-10896216-B2,2021,0,Train
US-10896219-B2,2021,0,Train
US-10896222-B1,2021,1,Train
US-10896228-B2,2021,0,Train
US-10896231-B2,2021,0,Train
US-10896233-B2,2021,1,Train
US-10896237-B2,2021,0,Train
US-10896241-B2,2021,0,Train
US-10896246-B2,2021,0,Train
US-10896256-B1,2021,1,Train
US-10896269-B2,2021,0,Train
US-10896286-B2,2021,1,Train
US-10896291-B2,2021,0,Train
US-10896294-B2,2021,0,Train
US-10896320-B2,2021,0,Train
US-10896334-B2,2021,0,Train
US-10896341-B2,2021,0,Train
US-10896352-B2,2021,0,Train
US-10896354-B2,2021,0,Train
US-10896356-B2,2021,0,Train
US-10896366-B2,2021,0,Train
US-10896367-B2,2021,0,Train
US-10896368-B2,2021,0,Train
US-10896369-B2,2021,0,Train
US-10896370-B2,2021,0,Train
US-10896371-B2,2021,0,Train
US-10896372-B2,2021,0,Train
US-10896373-B1,2021,0,Train
US-10896374-B2,2021,0,Train
US-10896375-B2,2021,0,Train
US-10896376-B2,2021,0,Train
US-10896377-B2,2021,0,Train
US-10896378-B2,2021,0,Train
US-10896379-B2,2021,0,Train
US-10896380-B2,2021,0,Train
US-10896381-B2,2021,1,Train
US-10896382-B2,2021,0,Train
US-10896383-B2,2021,0,Train
US-10896384-B1,2021,0,Train
US-10896385-B2,2021,1,Train
US-10896386-B2,2021,0,Train
US-10896387-B2,2021,0,Train
US-10896388-B2,2021,0,Train
US-10896396-B1,2021,0,Train
US-10896405-B1,2021,0,Train
US-10896438-B1,2021,1,Train
US-10896444-B2,2021,0,Train
US-10896446-B2,2021,0,Train
US-10896459-B1,2021,0,Train
US-10896493-B2,2021,1,Train
US-10896498-B2,2021,0,Train
US-10896502-B2,2021,0,Train
US-10896508-B2,2021,0,Train
US-10896518-B2,2021,0,Train
US-10896522-B2,2021,0,Train
US-10896527-B2,2021,0,Train
US-10896534-B1,2021,1,Train
US-10896535-B2,2021,1,Train
US-10896574-B2,2021,0,Train
US-10896598-B1,2021,0,Train
US-10896614-B2,2021,0,Train
US-10896671-B1,2021,1,Train
US-10896679-B1,2021,1,Train
US-10896680-B2,2021,0,Train
US-10896688-B2,2021,0,Train
US-10896726-B2,2021,0,Train
US-10896739-B2,2021,0,Train
US-10896741-B2,2021,0,Train
US-10896744-B2,2021,0,Train
US-10896747-B2,2021,0,Train
US-10896749-B2,2021,0,Train
US-10896753-B2,2021,0,Train
US-10896756-B2,2021,1,Train
US-10896763-B2,2021,1,Train
US-10896765-B2,2021,1,Train
US-10897069-B2,2021,0,Train
US-10897083-B2,2021,1,Train
US-10897400-B1,2021,0,Train
US-10897434-B2,2021,0,Train
US-10897449-B2,2021,1,Train
US-10897472-B1,2021,1,Train
US-10897474-B2,2021,0,Train
US-10897479-B1,2021,0,Train
US-10897480-B2,2021,0,Train
US-10897495-B2,2021,1,Train
US-10897508-B2,2021,0,Train
US-10897514-B2,2021,0,Train
US-10897570-B1,2021,1,Train
US-10897649-B1,2021,1,Train
US-10897650-B2,2021,1,Train
US-10897651-B2,2021,0,Train
US-10897663-B1,2021,1,Train
US-10897675-B1,2021,1,Train
US-10898119-B2,2021,0,Train
US-10898125-B2,2021,1,Train
US-10898755-B2,2021,0,Train
US-10899009-B2,2021,0,Train
US-10899137-B2,2021,0,Train
US-10900772-B2,2021,0,Train
US-10900786-B2,2021,0,Train
US-10900991-B2,2021,0,Train
US-10900992-B2,2021,0,Train
US-10900998-B1,2021,0,Train
US-10901032-B1,2021,0,Train
US-10901038-B2,2021,1,Train
US-10901375-B2,2021,0,Train
US-10901376-B2,2021,0,Train
US-10901396-B2,2021,0,Train
US-10901400-B2,2021,0,Train
US-10901416-B2,2021,1,Train
US-10901423-B2,2021,0,Train
US-10901476-B2,2021,1,Train
US-10901493-B2,2021,0,Train
US-10901502-B2,2021,0,Train
US-10901508-B2,2021,1,Train
US-10901615-B2,2021,1,Train
US-10901669-B2,2021,0,Train
US-10901674-B2,2021,0,Train
US-10901675-B2,2021,0,Train
US-10901708-B1,2021,0,Train
US-10901714-B1,2021,0,Train
US-10901717-B2,2021,0,Train
US-10901719-B2,2021,0,Train
US-10901726-B2,2021,0,Train
US-10901740-B2,2021,1,Train
US-10901787-B2,2021,0,Train
US-10901788-B2,2021,0,Train
US-10901793-B2,2021,0,Train
US-10901811-B2,2021,0,Train
US-10901815-B2,2021,1,Train
US-10901817-B1,2021,1,Train
US-10901832-B2,2021,1,Train
US-10901876-B2,2021,0,Train
US-10901896-B2,2021,0,Train
US-10901904-B2,2021,0,Train
US-10901939-B2,2021,0,Train
US-10901950-B2,2021,0,Train
US-10901959-B2,2021,0,Train
US-10901969-B2,2021,0,Train
US-10901993-B2,2021,0,Train
US-10901997-B2,2021,0,Train
US-10902003-B2,2021,0,Train
US-10902026-B2,2021,0,Train
US-10902033-B2,2021,0,Train
US-10902037-B2,2021,0,Train
US-10902041-B2,2021,0,Train
US-10902043-B2,2021,0,Train
US-10902044-B2,2021,0,Train
US-10902046-B2,2021,0,Train
US-10902048-B2,2021,0,Train
US-10902049-B2,2021,0,Train
US-10902051-B2,2021,1,Train
US-10902052-B2,2021,0,Train
US-10902058-B2,2021,0,Train
US-10902062-B1,2021,1,Train
US-10902065-B1,2021,0,Train
US-10902070-B2,2021,0,Train
US-10902077-B2,2021,0,Train
US-10902085-B2,2021,0,Train
US-10902089-B2,2021,0,Train
US-10902105-B2,2021,1,Train
US-10902115-B2,2021,0,Train
US-10902117-B1,2021,1,Train
US-10902118-B2,2021,0,Train
US-10902121-B2,2021,1,Train
US-10902183-B2,2021,0,Train
US-10902191-B1,2021,1,Train
US-10902199-B2,2021,1,Train
US-10902201-B2,2021,0,Train
US-10902203-B2,2021,1,Train
US-10902205-B2,2021,0,Train
US-10902207-B2,2021,0,Train
US-10902208-B2,2021,0,Train
US-10902209-B2,2021,0,Train
US-10902211-B2,2021,0,Train
US-10902214-B2,2021,0,Train
US-10902215-B1,2021,1,Train
US-10902216-B2,2021,0,Train
US-10902221-B1,2021,1,Train
US-10902226-B2,2021,0,Train
US-10902238-B2,2021,0,Train
US-10902245-B2,2021,1,Train
US-10902251-B2,2021,0,Train
US-10902252-B2,2021,1,Train
US-10902253-B2,2021,0,Train
US-10902254-B2,2021,1,Train
US-10902256-B2,2021,0,Train
US-10902262-B2,2021,0,Train
US-10902264-B2,2021,0,Train
US-10902269-B2,2021,0,Train
US-10902270-B2,2021,1,Train
US-10902272-B2,2021,0,Train
US-10902279-B2,2021,0,Train
US-10902286-B2,2021,0,Train
US-10902287-B2,2021,0,Train
US-10902289-B2,2021,1,Train
US-10902290-B1,2021,1,Train
US-10902291-B1,2021,1,Train
US-10902292-B2,2021,0,Train
US-10902293-B2,2021,1,Train
US-10902294-B2,2021,0,Train
US-10902295-B2,2021,0,Train
US-10902296-B2,2021,0,Train
US-10902298-B2,2021,0,Train
US-10902300-B2,2021,0,Train
US-10902302-B2,2021,1,Train
US-10902303-B2,2021,0,Train
US-10902311-B2,2021,0,Train
US-10902312-B2,2021,0,Train
US-10902313-B2,2021,0,Train
US-10902314-B2,2021,1,Train
US-10902315-B2,2021,1,Train
US-10902316-B2,2021,0,Train
US-10902317-B2,2021,0,Train
US-10902318-B2,2021,1,Train
US-10902319-B2,2021,0,Train
US-10902320-B2,2021,1,Train
US-10902321-B2,2021,0,Train
US-10902322-B2,2021,1,Train
US-10902323-B2,2021,0,Train
US-10902324-B2,2021,0,Train
US-10902325-B2,2021,0,Train
US-10902326-B2,2021,0,Train
US-10902327-B1,2021,1,Train
US-10902328-B2,2021,0,Train
US-10902329-B1,2021,1,Train
US-10902330-B2,2021,1,Train
US-10902331-B2,2021,1,Train
US-10902332-B2,2021,0,Train
US-10902333-B2,2021,0,Train
US-10902334-B2,2021,1,Train
US-10902336-B2,2021,0,Train
US-10902337-B1,2021,1,Train
US-10902338-B2,2021,0,Train
US-10902339-B2,2021,0,Train
US-10902340-B2,2021,0,Train
US-10902341-B1,2021,1,Train
US-10902342-B2,2021,0,Train
US-10902343-B2,2021,1,Train
US-10902344-B1,2021,0,Train
US-10902345-B2,2021,0,Train
US-10902346-B2,2021,0,Train
US-10902347-B2,2021,0,Train
US-10902348-B2,2021,0,Train
US-10902349-B2,2021,1,Train
US-10902350-B2,2021,0,Train
US-10902351-B1,2021,1,Train
US-10902352-B2,2021,0,Train
US-10902373-B2,2021,0,Train
US-10902378-B2,2021,0,Train
US-10902379-B2,2021,0,Train
US-10902381-B2,2021,0,Train
US-10902436-B2,2021,0,Train
US-10902445-B2,2021,1,Train
US-10902462-B2,2021,1,Train
US-10902478-B2,2021,0,Train
US-10902480-B2,2021,0,Train
US-10902490-B2,2021,1,Train
US-10902515-B1,2021,0,Train
US-10902524-B2,2021,0,Train
US-10902543-B2,2021,0,Train
US-10902547-B2,2021,0,Train
US-10902559-B2,2021,0,Train
US-10902571-B2,2021,1,Train
US-10902573-B2,2021,0,Train
US-10902579-B1,2021,1,Train
US-10902585-B2,2021,1,Train
US-10902587-B2,2021,0,Train
US-10902588-B2,2021,0,Train
US-10902591-B2,2021,1,Train
US-10902598-B2,2021,1,Train
US-10902600-B2,2021,0,Train
US-10902616-B2,2021,0,Train
US-10902628-B1,2021,0,Train
US-10902651-B2,2021,1,Train
US-10902665-B2,2021,0,Train
US-10902670-B1,2021,1,Train
US-10902683-B2,2021,0,Train
US-10902685-B2,2021,0,Train
US-10902719-B2,2021,1,Train
US-10902735-B2,2021,0,Train
US-10902738-B2,2021,1,Train
US-10902844-B2,2021,0,Train
US-10902849-B2,2021,0,Train
US-10902940-B2,2021,1,Train
US-10902943-B2,2021,0,Train
US-10902944-B1,2021,1,Train
US-10902946-B2,2021,0,Train
US-10902951-B2,2021,1,Train
US-10903043-B2,2021,0,Train
US-10903277-B2,2021,0,Train
US-10903412-B2,2021,0,Train
US-10903413-B2,2021,0,Train
US-10903541-B2,2021,1,Train
US-10903554-B2,2021,0,Train
US-10903809-B2,2021,1,Train
US-10903844-B2,2021,0,Train
US-10903849-B1,2021,1,Train
US-10903863-B2,2021,0,Train
US-10903870-B1,2021,0,Train
US-10903876-B1,2021,1,Train
US-10903976-B2,2021,1,Train
US-10904050-B1,2021,0,Train
US-10904071-B2,2021,0,Train
US-10904072-B2,2021,0,Train
US-10904076-B2,2021,0,Train
US-10904105-B2,2021,1,Train
US-10904109-B2,2021,0,Train
US-10904112-B2,2021,0,Train
US-10904114-B2,2021,0,Train
US-10904116-B2,2021,0,Train
US-10904159-B2,2021,0,Train
US-10904162-B2,2021,0,Train
US-10904185-B1,2021,0,Train
US-10904200-B2,2021,0,Train
US-10904212-B1,2021,1,Train
US-10904258-B2,2021,0,Train
US-10904259-B1,2021,1,Train
US-10904270-B2,2021,1,Train
US-10904275-B2,2021,0,Train
US-10904298-B2,2021,1,Train
US-10904344-B1,2021,0,Train
US-10904360-B1,2021,1,Train
US-10904381-B1,2021,0,Train
US-10904384-B2,2021,0,Train
US-10904390-B1,2021,1,Train
US-10904471-B2,2021,0,Train
US-10904541-B2,2021,0,Train
US-10904599-B2,2021,0,Train
US-10904637-B2,2021,0,Train
US-10904778-B1,2021,0,Train
US-10904929-B2,2021,0,Train
US-10905054-B2,2021,0,Train
US-10905337-B2,2021,1,Train
US-10905350-B2,2021,1,Train
US-10905374-B2,2021,0,Train
US-10905383-B2,2021,1,Train
US-10905882-B2,2021,0,Train
US-10905962-B2,2021,1,Train
US-10906536-B2,2021,1,Train
US-10907940-B1,2021,1,Train
US-10907983-B1,2021,1,Train
US-10908068-B2,2021,1,Train
US-10908251-B2,2021,0,Train
US-10908561-B2,2021,1,Train
US-10908564-B2,2021,0,Train
US-10908599-B2,2021,0,Train
US-10908602-B2,2021,1,Train
US-10908609-B2,2021,0,Train
US-10908614-B2,2021,1,Train
US-10908675-B2,2021,0,Train
US-10908696-B2,2021,1,Train
US-10908732-B1,2021,1,Train
US-10908801-B2,2021,0,Train
US-10908878-B2,2021,0,Train
US-10908879-B2,2021,0,Train
US-10908884-B2,2021,1,Train
US-10908885-B2,2021,1,Train
US-10908900-B1,2021,0,Train
US-10908912-B1,2021,0,Train
US-10908920-B2,2021,0,Train
US-10908926-B2,2021,1,Train
US-10908953-B2,2021,0,Train
US-10908964-B2,2021,0,Train
US-10908969-B2,2021,0,Train
US-10909073-B2,2021,0,Train
US-10909095-B2,2021,0,Train
US-10909124-B2,2021,1,Train
US-10909127-B2,2021,0,Train
